Budget,Runtime,Popularity,Vote_Average,Vote_Count,Genres,Revenue,Release_Year,Release_Month,Release_Quarter,Revenue_Log,Budget_Log
34000000.0,119.0,11.226856,6.9,927.0,Crime,50282766.0,1994,8,3,17.733172971993923,17.341871111992198
50000000.0,127.0,13.676444,6.4,522.0,Action,189859560.0,1995,3,1,19.061795204185188,17.72753358339242
16000000.0,110.0,20.477329,8.2,4293.0,Thriller,45284974.0,1994,9,3,17.628485857731853,16.588099342704055
11000000.0,113.0,1.433544,6.6,9.0,Comedy,2832826.0,1995,5,2,14.856785710940283,16.213405921671733
8000000.0,154.0,140.950236,8.3,8670.0,Thriller,213928762.0,1994,9,3,19.18115363439065,15.894952224644102
400000.0,105.0,1.638622,6.1,9.0,Comedy,152322.0,1992,2,1,11.933758545209391,12.899222326086994
32000000.0,107.0,7.54701,6.2,431.0,Action,18552460.0,1995,2,1,16.73611300668165,17.281246492014
22000000.0,108.0,3.395867,6.4,7.0,Drama,12400000.0,1995,3,1,16.333207111220425,16.906553056777135
15000000.0,133.0,6.259433,5.3,33.0,Drama,11300653.0,1994,12,4,16.240371158114005,16.52356082573315
35000000.0,89.0,8.910462,6.5,251.0,Animation,9771658.0,1994,11,4,16.094996815130763,17.370858648025116
45000000.0,110.0,10.388183,5.5,317.0,Action,170362582.0,1994,10,4,18.953439564914206,17.622173069956816
55000000.0,121.0,13.328924,6.8,942.0,Action,196567262.0,1994,10,4,19.096515236043995,17.822843761378564
22000000.0,97.0,9.665424,6.3,501.0,Fantasy,189833357.0,1994,11,4,19.061657182121934,16.906553056777135
25000000.0,142.0,51.645403,8.5,8358.0,Drama,28341469.0,1994,9,3,17.1598366610298,17.034386422832473
25000000.0,98.0,7.602087,5.5,140.0,Action,4064495.0,1995,3,1,15.21780030803739,17.034386422832473
38000000.0,118.0,8.105708,6.4,461.0,Science Fiction,120000000.0,1994,11,4,18.603002309079653,17.453096744006448
6000000.0,98.0,2.86007,5.4,33.0,Crime,12000000.0,1995,5,2,16.300417291085605,15.607270193858982
11000000.0,118.0,10.3919,7.5,943.0,Romance,10032765.0,1993,12,4,16.121366894601774,16.213405921671733
30000000.0,106.0,5.188399,5.4,163.0,Action,24048000.0,1995,8,3,16.99556243255839,17.216707972959764
17000000.0,103.0,15.783615,6.5,340.0,Comedy,182057016.0,1995,4,2,19.019830476198848,16.648723960844016
